exclusion_reason,display_label,operational_definition,records,representative_example
not_software_repair,Not software repair,"The record does not study automated repair or modification of software artifacts in response to bugs, tests, or vulnerabilities.",141,A 1Mb mixed-precision quantized encoder for image classification and patch-based compression
llm_not_central_to_repair,LLM not central at inference time,"The repair pipeline does not centrally invoke an LLM to generate, rank, validate, or orchestrate patches at inference time.",82,Accelerating Patch Validation for Program Repair With Interception-Based Execution Scheduling
benchmark_or_evaluation_only,"Benchmark, evaluation, or empirical study only","The record mainly evaluates models, benchmarks, or phenomena without contributing a retained repair system under the current corpus criteria.",65,A Case Study of LLM for Automated Vulnerability Repair: Assessing Impact of Reasoning and Patch Validation Feedback
no_patch_generation_or_repair_pipeline,No patch-generation or repair pipeline,"The record lacks a concrete patch-generation, patch-editing, or repair-control pipeline for program artifacts.",58,Accelerating Automatic Program Repair with Dual Retrieval-Augmented Fine-Tuning and Patch Generation on Large Language Models
full_text_unavailable_or_insufficient_detail,Insufficient full-text detail,The available full text or proceeding record does not expose enough method and evaluation detail for reliable extraction.,43,AdverIntent-Agent: Adversarial Reasoning for Repair Based on Inferred Program Intent
survey_or_review,Survey or review,"The record is a survey, review, position paper, or secondary study rather than a primary repair system.",8,A Comprehensive Survey of AI-Driven Advancements and Techniques in Automated Program Repair and Code Generation
detection_or_localization_only,Detection/localization only,"The record focuses on bug, vulnerability, or patch localization/detection without a retained repair component.",7,Empirical Study of Code Large Language Models for Binary Security Patch Detection
duplicate_or_less_complete_version,Duplicate or superseded version,The record duplicates or is superseded by a retained archival or more complete version.,3,ACFix: Guiding LLMs With Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts
other_boundary_exclusion_after_full_text_adjudication,Other boundary exclusion after adjudication,A boundary record was reviewed against the final eligibility criteria and not retained in the representative core corpus.,1,CigaR: Cost-efficient Program Repair with LLMs
